Gene,ChineseAmber,Leoti,pi229841,pi297155,pi300119,pi329311,pi506069,pi510757,pi655972,Rio,tx430,btx623,Grassl
3381.casb001g015450.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g015500.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g015560.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g015770.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g015880.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g015900.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g015960.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g016230.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g016230.635_1,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g016970.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g017170.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g017270.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g017420.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g017460.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g017540.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g017920.635,0,0,0,0,1,0,0,0,1,0,1,1,1
3381.casb001g018230.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g018300.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g018740.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g018760.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g018940.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g018990.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g019050.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g019130.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g019180.635,1,1,0,0,0,1,1,1,0,0,1,1,1
3381.casb001g019250.635,1,1,1,0,1,1,1,1,0,1,0,0,0
3381.casb001g019380.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g019510.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g019670.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g020150.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g020290.635,1,1,1,1,0,0,1,0,1,1,1,1,1
3381.casb001g020690.635,0,0,0,0,1,0,0,0,0,0,0,1,1
3381.casb001g020780.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g020830.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g020850.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g020940.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g021020.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g021080.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g021130.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g021290.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g021480.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g021530.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g021610.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g021620.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g021840.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g021970.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g022280.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g022440.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g022480.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g022500.635,0,0,0,0,1,0,0,0,0,0,1,0,0
3381.casb001g022540.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g022640.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g022730.635,1,1,1,1,1,1,1,1,1,1,1,1,1
3381.casb001g022750.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g022800.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g023100.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g023140.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g023280.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g023350.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g023420.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g023440.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g023460.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g023550.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g023750.635,0,0,0,0,0,1,0,1,1,0,1,0,0
3381.casb001g024130.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g024370.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g024380.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g024390.635,1,1,0,0,1,0,0,1,0,0,1,0,0
3381.casb001g024490.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g024520.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g024930.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g025500.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g025740.635,0,0,0,0,0,0,0,1,0,0,1,0,0
3381.casb001g025860.635,0,0,1,0,0,1,1,1,0,1,1,0,0
3381.casb001g026070.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g026140.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g026380.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g026510.635,1,1,1,0,1,1,1,1,0,0,1,0,0
3381.casb001g026590.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g026600.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g026610.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g027210.635,0,0,0,1,0,0,0,0,0,0,1,0,0
3381.casb001g027210.635_353.008G173800,0,0,0,0,0,1,0,1,0,0,0,0,0
3381.casb001g027300.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g027320.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g027340.635,0,0,0,0,0,0,0,0,0,0,1,1,0
3381.casb001g027430.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g027780.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g027790.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g028050.635,0,1,0,0,0,0,0,0,0,0,0,0,0
3381.casb001g028110.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028340.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g028400.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028420.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028430.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028540.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g028550.635,0,0,0,0,0,0,0,0,0,0,1,1,0
3381.casb002g028560.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g028610.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028670.635,0,0,0,0,0,1,0,0,0,0,1,0,0
3381.casb002g028680.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028690.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028710.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028740.635,0,0,0,0,0,0,0,0,0,0,0,1,1
3381.casb002g028830.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028850.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g028910.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g029020.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g029040.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g029130.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g029210.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g029520.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g029530.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g029600.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g029780.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g029910.635,0,0,0,0,0,0,1,1,0,1,1,0,0
3381.casb002g030060.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g030160.635,0,0,0,1,0,0,0,0,0,0,0,0,0
3381.casb002g030180.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g030250.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g030390.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g030610.635,0,0,0,0,1,0,0,0,0,0,1,0,0
3381.casb002g030670.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g030780.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g030850.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g030880.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g030960.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g030970.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g031200.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g031260.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g031270.635,0,0,0,0,0,0,0,1,0,0,1,0,0
3381.casb002g031320.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g031340.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g031390.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g031400.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g031510.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g031570.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g031570.635_1,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb002g031580.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g031600.635,0,1,0,0,1,0,1,0,0,1,1,0,0
3381.casb002g031610.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g031710.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g031960.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g032030.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g032070.635,0,1,0,0,0,0,1,1,0,0,0,0,0
3381.casb002g032260.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g032390.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g032750.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g032790.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g032830.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g033000.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g033050.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g033190.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g033200.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g033320.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g033340.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g033560.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g033590.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g033600.635,0,0,0,0,0,0,0,0,0,0,1,1,1
